Elapsed_Time(s),Target_X,Target_Y,Error_X,Error_Y,PWM_X,PWM_Y
4.81279,325.885,204.431,5.88498,4.4308,1808.19,1390.1
4.83064,326.46,205.454,6.4595,5.45386,1804.19,1390.1
4.84607,326.678,206.156,6.67783,6.15642,1800.19,1382.57
4.86481,326.014,206.354,6.01361,6.35374,1796.19,1379.77
4.87942,323.569,207.955,3.56863,7.95544,1801.54,1375.31
4.89728,322.61,209.681,2.60959,9.6814,1801.54,1370.37
4.9128,322.576,207.149,2.57608,7.14871,1801.54,1367.57
4.93055,323.035,205.559,3.03546,5.55852,1801.54,1364.77
4.94604,323.563,206.381,3.56329,6.38145,1801.54,1361.64
4.96567,324.192,204.807,4.19168,4.80667,1801.54,1365.87
4.97945,324.584,202.608,4.58423,2.60753,1801.54,1365.87
4.99731,325.116,202.024,5.11572,2.02419,1801.54,1365.87
5.01278,325.599,201.543,5.5993,1.54256,1794.7,1365.87
5.03053,326.251,201.112,6.25089,1.11227,1790.7,1365.87
5.04606,326.63,201.069,6.63025,1.06921,1786.7,1365.87
5.06396,326.6,200.977,6.59964,0.977066,1782.7,1365.87
5.07944,325.246,202.211,5.24625,2.21106,1788.24,1365.87
5.09736,323.884,203.525,3.88449,3.52475,1788.24,1365.87
5.11274,322.592,204.39,2.59241,4.39034,1788.24,1365.87
5.13058,323.181,205.353,3.18091,5.35344,1788.24,1365.87
5.14605,323.692,205.769,3.69232,5.76923,1788.24,1358.82
5.16427,324.515,206.375,4.51468,6.37479,1788.24,1355.96
5.17938,325.33,207.079,5.3299,7.07904,1788.24,1352.66
5.19734,326.036,206.721,6.0365,6.72064,1781.57,1349.86
5.21276,326.841,206.263,6.84149,6.26308,1777.57,1347.06
5.23067,327.592,205.093,7.59222,5.09306,1773.57,1351.6
5.24609,328.335,204.32,8.33499,4.32007,1769.57,1351.6
5.26478,327.428,203.476,7.42767,3.47641,1765.57,1351.6
5.27939,325.774,202.153,5.77365,2.15349,1761.57,1351.6
5.29722,323.086,203.787,3.08624,3.78654,1765.78,1351.6
5.31266,321.212,204.847,1.21213,4.84689,1765.78,1351.6
5.33056,319.248,204.432,-0.751526,4.43182,1765.78,1351.6
5.346,318.637,205.704,-1.36252,5.70354,1765.78,1344.63
5.36387,319.642,206.477,-0.358032,6.47685,1765.78,1341.6
5.37932,320.333,205.458,0.333344,5.45755,1765.78,1347.05
5.39726,321.384,206.286,1.38412,6.28572,1765.78,1340.1
5.41268,322.336,206.543,2.33649,6.54344,1765.78,1337.3
5.43073,323.378,205.987,3.3782,5.98718,1765.78,1334.5
5.44607,324.275,206.529,4.27487,6.52922,1765.78,1331.55
5.46395,325.315,204.605,5.31467,4.60489,1765.78,1336.3
5.47933,326.367,199.908,6.36697,-0.0921021,1757.97,1336.3
5.49726,327.295,198.253,7.29541,-1.74724,1753.97,1336.3
5.51271,328.063,197.619,8.06305,-2.38138,1749.97,1336.3
5.53055,328.386,196.418,8.38556,-3.58218,1745.97,1336.3
5.54602,327.94,196.519,7.94022,-3.48131,1741.97,1336.3
5.564,326.766,197.317,6.76593,-2.68297,1737.97,1336.3
5.57934,324.999,196.602,4.99854,-3.39795,1743.71,1336.3
5.59724,323.94,197.42,3.94022,-2.57997,1743.71,1336.3
5.61274,322.845,197.037,2.84454,-2.96263,1743.71,1336.3
5.63056,322.312,196.537,2.31201,-3.46271,1743.71,1336.3
5.646,322.248,195.636,2.24805,-4.36433,1743.71,1336.3
5.66479,322.822,195.632,2.82211,-4.36771,1743.71,1336.3
5.68187,323.881,195.577,3.88052,-4.42331,1743.71,1336.3
5.69747,324.993,194.799,4.99258,-5.20148,1743.71,1336.3
5.71283,326.332,194.662,6.33182,-5.33792,1735.94,1336.3
5.7307,327.653,194.396,7.65317,-5.60361,1731.94,1342.51
5.74622,328.984,193.712,8.98355,-6.28848,1727.4,1345.48
5.764,329.237,192.796,9.23682,-7.20361,1723.4,1348.9
5.78132,329.072,193.142,9.07175,-6.858,1719.4,1351.7
5.79736,328.815,193.628,8.81549,-6.37209,1715.4,1354.5
5.81286,328.348,194.366,8.34802,-5.63435,1711.4,1357.3
5.83062,327.595,196.117,7.59543,-3.88319,1707.4,1353.18
5.84612,327.255,198.47,7.255,-1.52995,1703.4,1353.18
5.86411,326.176,198.399,6.17639,-1.60089,1699.4,1353.18
5.87939,324.65,198.255,4.64957,-1.74501,1704.65,1353.18
5.89735,322.399,198.267,2.39856,-1.73334,1704.65,1353.18
5.91275,321.023,198.146,1.02304,-1.85406,1704.65,1353.18
5.93069,321.242,197.616,1.24158,-2.38379,1704.65,1353.18
5.94605,321.686,196.805,1.68585,-3.19469,1704.65,1353.18
5.96398,323.109,196.529,3.10855,-3.47095,1704.65,1353.18
5.97944,324.437,195.41,4.43668,-4.58952,1704.65,1353.18
5.99736,325.937,194.621,5.93732,-5.37921,1698.08,1353.18
6.01284,327.229,194.348,7.22906,-5.65198,1694.08,1360.07
6.0306,328.637,193.768,8.6373,-6.23201,1689.76,1362.87
6.04607,329.567,192.935,9.56696,-7.06548,1685.33,1366.27
6.06396,329.434,192.313,9.4342,-7.68713,1681.33,1369.65
6.07953,328.527,192.67,8.52713,-7.33023,1677.33,1372.45
6.09735,328.632,194.162,8.63245,-5.8378,1673.33,1375.25
6.11282,327.484,194.712,7.48431,-5.28848,1669.33,1370.34
6.13064,325.856,196.312,5.85587,-3.68768,1665.33,1370.34
6.14612,324.778,199.29,4.77777,-0.710205,1670.25,1370.34
6.16401,324.932,200.488,4.93179,0.488373,1670.25,1370.34
6.17946,324.806,200.575,4.80621,0.575195,1670.25,1370.34
6.19731,325.42,200.657,5.4198,0.657227,1670.25,1370.34
6.2128,326.323,198.701,6.32281,-1.2988,1662.53,1370.34
6.23059,327.816,197.78,7.81619,-2.21962,1658.46,1370.34
6.24601,329.201,196.83,9.20059,-3.17044,1653.79,1370.34
6.26388,329.733,194.577,9.73273,-5.42342,1649.69,1370.34
6.27936,328.095,194.712,8.095,-5.28816,1645.69,1370.34
6.29733,327.722,195.419,7.72247,-4.58139,1641.69,1370.34
6.31273,326.911,192.856,6.91071,-7.14435,1637.69,1379.1
6.33055,326.882,192.39,6.88171,-7.60983,1633.69,1382.34
6.34601,327.517,191.433,7.51712,-8.56697,1629.69,1386.41
6.36393,326.412,189.367,6.41223,-10.6328,1625.69,1391.96
6.3794,326.005,190.332,6.00458,-9.6682,1621.69,1394.83
6.39734,325.609,191.791,5.60861,-8.20895,1617.69,1397.63
6.41276,325.657,192.754,5.6568,-7.24631,1613.69,1400.43
6.43082,325.976,194.718,5.97595,-5.28206,1609.69,1395.22
6.44607,325.676,195.727,5.67648,-4.27287,1605.69,1395.22
6.46396,324.946,195.948,4.94608,-4.05229,1609.82,1395.22
6.47937,323.715,197.827,3.715,-2.17334,1609.82,1395.22
6.49866,323.591,197.919,3.59052,-2.08122,1609.82,1395.22
